LOCATION,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD
ALBANY PARK,5150 N. Kimball Avenue,CHICAGO,60625,8214,,,,,,,,,,,,8214
ALTGELD,13281 S. Corliss Avenue,CHICAGO,60827,378,,,,,,,,,,,,378
ARCHER HEIGHTS,5055 S. Archer Avenue,CHICAGO,60632,5365,,,,,,,,,,,,5365
AUSTIN,5615 W. Race Avenue,CHICAGO,60644,215,,,,,,,,,,,,215
AUSTIN-IRVING,6100 W. Irving Park Road,CHICAGO,60634,9678,,,,,,,,,,,,9678
AVALON,8148 S. Stony Island Avenue,CHICAGO,60617,2910,,,,,,,,,,,,2910
BACK OF THE YARDS,2111 W. 47th Street,CHICAGO,60609,2156,,,,,,,,,,,,2156
BEVERLY,1962 W. 95th Street,CHICAGO,60643,3937,,,,,,,,,,,,3937
BEZAZIAN,1226 W. Ainslie Street,CHICAGO,60640,8524,,,,,,,,,,,,8524
BLACKSTONE,4904 S. Lake Park Avenue,CHICAGO,60615,7981,,,,,,,,,,,,7981
BRAINERD,1350 W. 89th Street,CHICAGO,60620,677,,,,,,,,,,,,677
BRIGHTON PARK,4314 S. Archer Avenue,CHICAGO,60632,4157,,,,,,,,,,,,4157
BUCKTOWN-WICKER PARK,1701 N. Milwaukee Avenue,CHICAGO,60647,8642,,,,,,,,,,,,8642
BUDLONG WOODS,5630 N. Lincoln Avenue,CHICAGO,60659,8892,,,,,,,,,,,,8892
CANARYVILLE,642 W. 43rd Street,CHICAGO,60609,1617,,,,,,,,,,,,1617
CHICAGO BEE,3647 S. State Street,CHICAGO,60609,862,,,,,,,,,,,,862
CHICAGO LAWN,6120 S. Kedzie Avenue,CHICAGO,60629,2521,,,,,,,,,,,,2521
CHINATOWN,2100 S. Wentworth Avenue,CHICAGO,60616,8235,,,,,,,,,,,,8235
CLEARING,6423 W. 63rd Place,CHICAGO,60638,2534,,,,,,,,,,,,2534
COLEMAN,731 E. 63rd Street,CHICAGO,60637,2291,,,,,,,,,,,,2291
"DALEY, RICHARD J.- BRIDGEPORT",3400 S. Halsted Street,CHICAGO,60608,5280,,,,,,,,,,,,5280
"DALEY, RICHARD M.- W HUMBOLDT",733 N. Kedzie Avenue,CHICAGO,60612,2492,,,,,,,,,,,,2492
DOUGLASS,3353 W. 13th Street,CHICAGO,60623,0,,,,,,,,,,,,0
