LOCATION,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD
ALBANY PARK,5150 N. Kimball Avenue,CHICAGO,60625,1895,,,,,,,,,,,,1895
ALTGELD,13281 S. Corliss Avenue,CHICAGO,60827,616,,,,,,,,,,,,616
ARCHER HEIGHTS,5055 S. Archer Avenue,CHICAGO,60632,1241,,,,,,,,,,,,1241
AUSTIN,5615 W. Race Avenue,CHICAGO,60644,395,,,,,,,,,,,,395
AUSTIN-IRVING,6100 W. Irving Park Road,CHICAGO,60634,1256,,,,,,,,,,,,1256
AVALON,8148 S. Stony Island Avenue,CHICAGO,60617,2635,,,,,,,,,,,,2635
BACK OF THE YARDS,2111 W. 47th Street,CHICAGO,60609,1118,,,,,,,,,,,,1118
BEVERLY,1962 W. 95th Street,CHICAGO,60643,1109,,,,,,,,,,,,1109
BEZAZIAN,1226 W. Ainslie Street,CHICAGO,60640,2302,,,,,,,,,,,,2302
BLACKSTONE,4904 S. Lake Park Avenue,CHICAGO,60615,1269,,,,,,,,,,,,1269
BRAINERD,1350 W. 89th Street,CHICAGO,60620,814,,,,,,,,,,,,814
BRIGHTON PARK,4314 S. Archer Avenue,CHICAGO,60632,923,,,,,,,,,,,,923
BUCKTOWN-WICKER PARK,1701 N. Milwaukee Avenue,CHICAGO,60647,888,,,,,,,,,,,,888
BUDLONG WOODS,5630 N. Lincoln Avenue,CHICAGO,60659,1256,,,,,,,,,,,,1256
CANARYVILLE,642 W. 43rd Street,CHICAGO,60609,533,,,,,,,,,,,,533
CHICAGO BEE,3647 S. State Street,CHICAGO,60609,660,,,,,,,,,,,,660
CHICAGO LAWN,6120 S. Kedzie Avenue,CHICAGO,60629,1208,,,,,,,,,,,,1208
CHINATOWN,2100 S. Wentworth Avenue,CHICAGO,60616,2289,,,,,,,,,,,,2289
CLEARING,6423 W. 63rd Place,CHICAGO,60638,689,,,,,,,,,,,,689
COLEMAN,731 E. 63rd Street,CHICAGO,60637,2161,,,,,,,,,,,,2161
"DALEY, RICHARD J.- BRIDGEPORT",3400 S. Halsted Street,CHICAGO,60608,1033,,,,,,,,,,,,1033
"DALEY, RICHARD M.- W HUMBOLDT",733 N. Kedzie Avenue,CHICAGO,60612,2418,,,,,,,,,,,,2418
DOUGLASS,3353 W. 13th Street,CHICAGO,60623,0,,,,,,,,,,,,0
DUNNING,7455 W. Cornelia Avenue,CHICAGO,60634,906,,,,,,,,,,,,906
EDGEBROOK,5331 W. Devon Avenue,CHICAGO,60646,610,,,,,,,,,,,,610
EDGEWATER,1210 W. Elmdale Avenue,CHICAGO,60660,3477,,,,,,,,,,,,3477
GAGE PARK,2807 W. 55th Street,CHICAGO,60632,415,,,,,,,,,,,,415
GALEWOOD-MONT CLARE,6871 W. Belden Avenue,CHICAGO,60707,0,,,,,,,,,,,,0
GARFIELD RIDGE,6348 S. Archer Avenue,CHICAGO,60638,697,,,,,,,,,,,,697
GREATER GRAND CROSSING,1000 East 73rd Street,CHICAGO,60619,1715,,,,,,,,,,,,1715
HALL,4801 S. Michigan Avenue,CHICAGO,60615,1118,,,,,,,,,,,,1118
HAROLD WASHINGTON LIBRARY CENTER,400 S. State Street,CHICAGO,60605,17443,,,,,,,,,,,,17443
HEGEWISCH,3048 E. 130th Street,CHICAGO,60633,564,,,,,,,,,,,,564
HUMBOLDT PARK,1605 N. Troy Street,CHICAGO,60647,1237,,,,,,,,,,,,1237
INDEPENDENCE,3548 W. Irving Park Road,CHICAGO,60618,176,,,,,,,,,,,,176
JEFFERSON PARK,5363 W. Lawrence Avenue,CHICAGO,60630,801,,,,,,,,,,,,801
JEFFREY MANOR,2401 E. 100th Street,CHICAGO,60617,975,,,,,,,,,,,,975
KELLY,6151 S. Normal Boulevard,CHICAGO,60621,1018,,,,,,,,,,,,1018
KING,3436 S. King Drive,CHICAGO,60616,1421,,,,,,,,,,,,1421
LEGLER,115 S. Pulaski Road,CHICAGO,60624,2042,,,,,,,,,,,,2042
LINCOLN BELMONT,1659 W. Melrose Street,CHICAGO,60657,916,,,,,,,,,,,,916
LINCOLN PARK,1150 W. Fullerton Avenue,CHICAGO,60614,977,,,,,,,,,,,,977
LITTLE ITALY,1336 W. Taylor,CHICAGO,60607,189,,,,,,,,,,,,189
LITTLE VILLAGE,3030 W. Fullerton Avenue,CHICAGO,60623,1758,,,,,,,,,,,,1758
LOGAN SQUARE,1805 S. Loomis Street,CHICAGO,60647,1634,,,,,,,,,,,,1634
LOZANO,6 S. Hoyne Avenue,CHICAGO,60608,1802,,,,,,,,,,,,1802
MANNING,4400 W. Lawrence Avenue,CHICAGO,60612,1575,,,,,,,,,,,,1575
THURGOOD MARSHALL,7506 S. Racine Avenue,CHICAGO,60620,2032,,,,,,,,,,,,2032
MAYFAIR,1915 W. 35th Street,CHICAGO,60630,662,,,,,,,,,,,,662
MCKINLEY PARK,644 W. Belmont Avenue,CHICAGO,60609,837,,,,,,,,,,,,837
MERLO,11010 S. Kedzie Avenue,CHICAGO,60657,1017,,,,,,,,,,,,1017
MOUNT GREENWOOD,310 W. Division Street,CHICAGO,60655,753,,,,,,,,,,,,753
NEAR NORTH,5724 W. North Avenue,CHICAGO,60610,1387,,,,,,,,,,,,1387
NORTH AUSTIN,4300 W. North Avenue,CHICAGO,60639,1399,,,,,,,,,,,,1399
