LOCATION,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD
ALBANY PARK,5150 N. Kimball Avenue,CHICAGO,60625,4431,,,,,,,,,,,,4431
ALTGELD,13281 S. Corliss Avenue,CHICAGO,60827,962,,,,,,,,,,,,962
ARCHER HEIGHTS,5055 S. Archer Avenue,CHICAGO,60632,2712,,,,,,,,,,,,2712
AUSTIN,5615 W. Race Avenue,CHICAGO,60644,2517,,,,,,,,,,,,2517
AUSTIN-IRVING,6100 W. Irving Park Road,CHICAGO,60634,3740,,,,,,,,,,,,3740
AVALON,8148 S. Stony Island Avenue,CHICAGO,60617,3390,,,,,,,,,,,,3390
BACK OF THE YARDS,2111 W. 47th Street,CHICAGO,60609,1433,,,,,,,,,,,,1433
BEVERLY,1962 W. 95th Street,CHICAGO,60643,3141,,,,,,,,,,,,3141
BEZAZIAN,1226 W. Ainslie Street,CHICAGO,60640,3486,,,,,,,,,,,,3486
BLACKSTONE,4904 S. Lake Park Avenue,CHICAGO,60615,2716,,,,,,,,,,,,2716
BRAINERD,1350 W. 89th Street,CHICAGO,60620,1809,,,,,,,,,,,,1809
BRIGHTON PARK,4314 S. Archer Avenue,CHICAGO,60632,1750,,,,,,,,,,,,1750
BUCKTOWN-WICKER PARK,1701 N. Milwaukee Avenue,CHICAGO,60647,4230,,,,,,,,,,,,4230
BUDLONG WOODS,5630 N. Lincoln Avenue,CHICAGO,60659,4526,,,,,,,,,,,,4526
CANARYVILLE,642 W. 43rd Street,CHICAGO,60609,1122,,,,,,,,,,,,1122
CHICAGO BEE,3647 S. State Street,CHICAGO,60609,757,,,,,,,,,,,,757
CHICAGO LAWN,6120 S. Kedzie Avenue,CHICAGO,60629,2137,,,,,,,,,,,,2137
CHINATOWN,2100 S. Wentworth Avenue,CHICAGO,60616,7825,,,,,,,,,,,,7825
CLEARING,6423 W. 63rd Place,CHICAGO,60638,1893,,,,,,,,,,,,1893
COLEMAN,731 E. 63rd Street,CHICAGO,60637,2634,,,,,,,,,,,,2634
"DALEY, RICHARD J.- BRIDGEPORT",3400 S. Halsted Street,CHICAGO,60608,1841,,,,,,,,,,,,1841
"DALEY, RICHARD M.- W HUMBOLDT",733 N. Kedzie Avenue,CHICAGO,60612,4097,,,,,,,,,,,,4097
DOUGLASS,3353 W. 13th Street,CHICAGO,60623,0,,,,,,,,,,,,0
DUNNING,7455 W. Cornelia Avenue,CHICAGO,60634,3291,,,,,,,,,,,,3291
EDGEBROOK,5331 W. Devon Avenue,CHICAGO,60646,3058,,,,,,,,,,,,3058
EDGEWATER,1210 W. Elmdale Avenue,CHICAGO,60660,6279,,,,,,,,,,,,6279
GAGE PARK,2807 W. 55th Street,CHICAGO,60632,754,,,,,,,,,,,,754
GALEWOOD-MONT CLARE,6871 W. Belden Avenue,CHICAGO,60707,638,,,,,,,,,,,,638
GARFIELD RIDGE,6348 S. Archer Avenue,CHICAGO,60638,1734,,,,,,,,,,,,1734
GREATER GRAND CROSSING,1000 East 73rd Street,CHICAGO,60619,2732,,,,,,,,,,,,2732
HALL,4801 S. Michigan Avenue,CHICAGO,60615,2222,,,,,,,,,,,,2222
HAROLD WASHINGTON LIBRARY CENTER,400 S. State Street,CHICAGO,60605,103099,,,,,,,,,,,,103099
HEGEWISCH,3048 E. 130th Street,CHICAGO,60633,1269,,,,,,,,,,,,1269
HUMBOLDT PARK,1605 N. Troy Street,CHICAGO,60647,2299,,,,,,,,,,,,2299
INDEPENDENCE,3548 W. Irving Park Road,CHICAGO,60618,2872,,,,,,,,,,,,2872
JEFFERSON PARK,5363 W. Lawrence Avenue,CHICAGO,60630,0,,,,,,,,,,,,0
JEFFREY MANOR,2401 E. 100th Street,CHICAGO,60617,2093,,,,,,,,,,,,2093
KELLY,6151 S. Normal Boulevard,CHICAGO,60621,1828,,,,,,,,,,,,1828
KING,3436 S. King Drive,CHICAGO,60616,1680,,,,,,,,,,,,1680
LEGLER,115 S. Pulaski Road,CHICAGO,60624,2808,,,,,,,,,,,,2808
LINCOLN BELMONT,1659 W. Melrose Street,CHICAGO,60657,4723,,,,,,,,,,,,4723
LINCOLN PARK,1150 W. Fullerton Avenue,CHICAGO,60614,4267,,,,,,,,,,,,4267
LITTLE ITALY,1336 W. Taylor,CHICAGO,60607,0,,,,,,,,,,,,0
LITTLE VILLAGE,3030 W. Fullerton Avenue,CHICAGO,60623,2780,,,,,,,,,,,,2780
LOGAN SQUARE,1805 S. Loomis Street,CHICAGO,60647,4747,,,,,,,,,,,,4747
LOZANO,6 S. Hoyne Avenue,CHICAGO,60608,3980,,,,,,,,,,,,3980
MANNING,4400 W. Lawrence Avenue,CHICAGO,60612,2834,,,,,,,,,,,,2834
THURGOOD MARSHALL,7506 S. Racine Avenue,CHICAGO,60620,2374,,,,,,,,,,,,2374
MAYFAIR,1915 W. 35th Street,CHICAGO,60630,1649,,,,,,,,,,,,1649
MCKINLEY PARK,644 W. Belmont Avenue,CHICAGO,60609,3326,,,,,,,,,,,,3326
MERLO,11010 S. Kedzie Avenue,CHICAGO,60657,3041,,,,,,,,,,,,3041
MOUNT GREENWOOD,310 W. Division Street,CHICAGO,60655,2084,,,,,,,,,,,,2084
NEAR NORTH,5724 W. North Avenue,CHICAGO,60610,4093,,,,,,,,,,,,4093
NORTH AUSTIN,4300 W. North Avenue,CHICAGO,60639,1323,,,,,,,,,,,,1323
NORTH PULASKI,6435 N. California Avenue,CHICAGO,60639,1629,,,,,,,,,,,,1629
NORTHTOWN,7454 W. Balmoral Avenue,CHICAGO,60645,0,,,,,,,,,,,,0
ORIOLE PARK,5108 W. Belmont Avenue,CHICAGO,60656,2910,,,,,,,,,,,,2910
PORTAGE-CRAGIN,11001 S. Indiana Avenue,CHICAGO,60641,1766,,,,,,,,,,,,1766
PULLMAN,6083 N. Northwest Highway,CHICAGO,60628,1486,,,,,,,,,,,,1486
RODEN,6907 N. Clark Street,CHICAGO,60631,2134,,,,,,,,,,,,2134
ROGERS PARK,1101 W. Taylor Street,CHICAGO,60626,7452,,,,,,,,,,,,7452
SCOTTSDALE,4101 W. 79th Street,CHICAGO,60652,1358,,,,,,,,,,,,1358
SHERMAN PARK,5440 S. Racine Avenue,CHICAGO,60609,1241,,,,,,,,,,,,1241
SOUTH CHICAGO,9055 S. Houston Avenue,CHICAGO,60617,2623,,,,,,,,,,,,2623
SOUTH SHORE,2505 E. 73rd Street,CHICAGO,60649,1956,,,,,,,,,,,,1956
SULZER REGIONAL,4455 N. Lincoln Avenue,CHICAGO,60625,10540,,,,,,,,,,,,10540
TOMAN,2708 S. Pulaski Road,CHICAGO,60623,2813,,,,,,,,,,,,2813
UPTOWN,929 W. Buena Avenue,CHICAGO,60613,3428,,,,,,,,,,,,3428
