BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,LOCATION
Walker,11071 S. Hoyne Ave.,Chicago,60643,1084,1084,963,0,0,,,,,,,,3131,POINT (-87.674251 41.692445)
Albany Park,3401 W. Foster Ave.,Chicago,60625,7062,6338,3957,0,0,,,,,,,,17357,POINT (-87.713595 41.975693)
Avalon,8148 S. Stony Island Ave.,Chicago,60617,2531,2244,1798,0,0,,,,,,,,6573,POINT (-87.585869 41.746322)
Brainerd,1350 W. 89th St.,Chicago,60620,583,450,314,0,0,,,,,,,,1347,POINT (-87.657726 41.732282)
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,6094,4772,3772,0,0,,,,,,,,14638,POINT (-87.813329 41.978015)
Little Italy,1336 W. Taylor St.,Chicago,60607,5351,4915,3249,0,0,,,,,,,,13515,POINT (-87.660263 41.869359)
Edgebrook,5331 W. Devon Ave.,Chicago,60646,8446,6924,5378,0,2,,,,,,,,20750,POINT (-87.762043 41.997245)
Kelly,6151 S. Normal Blvd.,Chicago,60621,933,773,561,0,0,,,,,,,,2267,POINT (-87.637516 41.78199)
Edgewater,6000 N. Broadway St.,Chicago,60660,14221,13235,9551,0,35,,,,,,,,37042,POINT (-87.660344 41.990916)
Near North,310 W. Division St.,Chicago,60610,8411,7896,4181,0,0,,,,,,,,20488,POINT (-87.636644 41.903838)
Canaryville,642 W. 43rd St.,Chicago,60609,1538,1571,984,0,6,,,,,,,,4099,POINT (-87.642569 41.81627)
"Daley, Richard J.- Bridgeport",3400 S. Halsted St.,Chicago,60608,4460,4534,3439,0,0,,,,,,,,12433,POINT (-87.646149 41.8327)
Manning,6 S. Hoyne Ave.,Chicago,60612,1728,1597,0,0,0,,,,,,,,3325,POINT (-87.679091 41.881026)
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,5674,4989,3519,0,0,,,,,,,,14182,POINT (-87.754875 41.938748)
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,1781,1655,1094,0,0,,,,,,,,4530,POINT (-87.61416 41.751132)
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,1265,1021,768,0,0,,,,,,,,3054,POINT (-87.600377 41.762277)
Auto-Renewals,,,,541865,534965,703214,897679,823205,,,,,,,,3500928,
Scottsdale,4101 W. 79th St.,Chicago,60652,1890,1661,1246,0,1,,,,,,,,4798,POINT (-87.724291 41.749388)
Altgeld,13281 S. Corliss Ave.,Chicago,60827,360,271,148,0,0,,,,,,,,779,POINT (-87.602139 41.653968)
West Lawn,4020 W. 63rd St.,Chicago,60629,3340,2954,1835,0,0,,,,,,,,8129,POINT (-87.723756 41.778629)
Back of the Yards,2111 W. 47th St.,Chicago,60609,1889,1847,1541,0,0,,,,,,,,5277,POINT (-87.677601 41.808523)
Rogers Park,6907 N. Clark St.,Chicago,60626,8713,8311,5421,1,5,,,,,,,,22451,POINT (-87.67344 42.006673)
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,3964,3688,2942,0,0,,,,,,,,10594,POINT (-87.780098 41.792854)
King,3436 S. King Dr.,Chicago,60616,2157,1770,1276,0,0,,,,,,,,5203,POINT (-87.61733500000001 41.832238000000004)
Water Works,163 E. Pearson Street,Chicago,60611,5122,4327,3085,0,0,,,,,,,,12534,POINT (-87.623239 41.89761)
"Daley, Richard M.- W Humboldt",733 N. Kedzie Ave.,Chicago,60612,2800,2600,1643,0,0,,,,,,,,7043,POINT (-87.706545 41.89433)
Humboldt Park,1605 N. Troy St.,Chicago,60647,4333,4248,3380,0,0,,,,,,,,11961,POINT (-87.705655 41.910536)
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,30141,28385,19560,0,1,,,,,,,,78087,POINT (-87.684637 41.962677)
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,7975,7461,4281,0,0,,,,,,,,19717,POINT (-87.590213 41.80762)
North Austin,5724 W. North Ave.,Chicago,60639,1072,869,573,0,0,,,,,,,,2514,POINT (-87.768878 41.909401)
West Town,1625 W. Chicago Ave.,Chicago,60622,4684,4537,3287,0,0,,,,,,,,12508,POINT (-87.668233 41.89606)
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,7384,6714,4696,0,0,,,,,,,,18794,POINT (-87.696439 41.983843)
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,12260,11556,7889,0,0,,,,,,,,31705,POINT (-87.658126 41.925316)
West Englewood,1745 W. 63rd St.,Chicago,60636,1050,905,557,0,0,,,,,,,,2512,POINT (-87.66821 41.779364)
Archer Heights,5055 S. Archer Ave.,Chicago,60632,3769,3498,2681,0,0,,,,,,,,9948,POINT (-87.726723 41.801206)
Hegewisch,3048 E. 130th St.,Chicago,60633,2020,1334,1404,0,0,,,,,,,,4758,POINT (-87.548914 41.65915300000001)
Independence,4024 N. Elston Ave.,Chicago,60618,6652,7177,3946,0,0,,,,,,,,17775,POINT (-87.719889 41.954219)
Lozano,1805 S. Loomis St.,Chicago,60608,3456,2838,1732,2,0,,,,,,,,8028,POINT (-87.661298 41.857604)
South Shore,2505 E. 73rd St.,Chicago,60649,1,965,1088,0,0,,,,,,,,2054,POINT (-87.563672 41.762654)
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,6044,5774,3024,0,5,,,,,,,,14847,POINT (-87.631794 41.854267)
Douglass,3353 W. 13th St.,Chicago,60623,1112,879,577,0,0,,,,,,,,2568,POINT (-87.709792 41.864527)
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,11156,10359,7846,0,1,,,,,,,,29362,POINT (-87.703483 41.924806)
Roden,6083 N. Northwest Hwy.,Chicago,60631,1518,4675,4110,0,0,,,,,,,,10303,POINT (-87.798265 41.991862)
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,732,628,345,0,0,,,,,,,,1705,POINT (-87.79846800000001 41.921134)
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,4697,4840,4026,0,11,,,,,,,,13574,POINT (-87.785858 41.936833)
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,9696,9222,6361,0,0,,,,,,,,25279,POINT (-87.680298 41.912224)
North Pulaski,4300 W. North Ave.,Chicago,60639,1733,1962,954,0,0,,,,,,,,4649,POINT (-87.733923 41.909856)
McKinley Park,1915 W. 35th St.,Chicago,60609,4750,4363,3334,0,0,,,,,,,,12447,POINT (-87.67345 41.830421)
Downloadable Media,,,,168217,166250,184250,213490,224999,,,,,,,,957206,
West Pullman,830 W. 119th St.,Chicago,60643,1449,1491,1083,0,0,,,,,,,,4023,POINT (-87.64332700000001 41.677819)
Beverly,1962 W. 95th St.,Chicago,60643,3746,3822,3017,0,0,,,,,,,,10585,POINT (-87.672288 41.721148)
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,0,0,0,0,0,,,,,,,,0,POINT (-87.725593 41.879302)
Toman,2708 S. Pulaski Rd.,Chicago,60623,4410,3785,3086,0,0,,,,,,,,11281,POINT (-87.724477 41.842073)
Austin,5615 W. Race Ave.,Chicago,60644,1315,1235,809,0,0,,,,,,,,3359,POINT (-87.766942 41.889281)
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,1313,1244,1016,0,0,,,,,,,,3573,POINT (-87.70209 41.738313)
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,6161,5460,4235,0,2,,,,,,,,15858,POINT (-87.761964 41.967648)
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,2929,2892,2079,0,0,,,,,,,,7900,POINT (-87.738158 41.96815)
South Chicago,9055 S. Houston Ave.,Chicago,60617,1667,1234,804,0,0,,,,,,,,3705,POINT (-87.549849 41.730371)
Clearing,6423 W. 63rd Pl.,Chicago,60638,2242,2139,1754,0,0,,,,,,,,6135,POINT (-87.782282 41.7768)
Merlo,644 W. Belmont Ave.,Chicago,60657,0,0,0,0,0,,,,,,,,0,POINT (-87.646055 41.940054)
Uptown,929 W. Buena Ave.,Chicago,60613,7877,7308,5655,0,0,,,,,,,,20840,POINT (-87.654217 41.95846)
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,2161,2506,1774,0,1,,,,,,,,6442,POINT (-87.703231 41.781967)
Harold Washington Library Center,400 S. State Street,Chicago,60605,48585,42078,31090,275,245,,,,,,,,122273,POINT (-87.627695 41.876301)
Brighton Park,4314 S. Archer Ave.,Chicago,60632,3047,2830,2327,0,0,,,,,,,,8204,POINT (-87.703067 41.814848)
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,703,713,412,0,0,,,,,,,,1828,POINT (-87.74730500000001 41.895019)
Little Village,2311 S. Kedzie Ave.,Chicago,60623,2862,2444,1659,0,0,,,,,,,,6965,POINT (-87.705179 41.849599)
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,14013,13412,9198,0,12,,,,,,,,36635,POINT (-87.670434 41.940599)
Gage Park,2807 W. 55th St.,Chicago,60632,1254,1233,727,0,0,,,,,,,,3214,POINT (-87.694138 41.793722)
Northtown,6800 N. Western Ave.,Chicago,60645,10481,9613,7569,19,0,,,,,,,,27682,POINT (-87.690175 42.00536)
Dunning,7455 W. Cornelia Ave.,Chicago,60634,3769,3407,3017,0,0,,,,,,,,10193,POINT (-87.813899 41.94331)
Bezazian,1226 W. Ainslie St.,Chicago,60640,8134,7405,5063,1,0,,,,,,,,20603,POINT (-87.66074 41.971414)
West Loop,122 N. Aberdeen St.,Chicago,60607,5153,4618,2853,0,0,,,,,,,,12624,POINT (-87.654421 41.883595)
Pullman,11001 S. Indiana Ave.,Chicago,60628,840,716,551,0,0,,,,,,,,2107,POINT (-87.618295 41.694366)
Patron Initiated renewals (automated phone),,,,1285,1204,1323,907,888,,,,,,,,5607,
Jeffery Manor,2401 E. 100th St.,Chicago,60617,662,500,482,0,0,,,,,,,,1644,POINT (-87.565489 41.713513)
Hall,4801 S. Michigan Ave.,Chicago,60615,1249,1108,990,0,0,,,,,,,,3347,POINT (-87.622776 41.807273)
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,4603,3804,3015,0,0,,,,,,,,11422,POINT (-87.700878 41.692925)
Coleman,731 E. 63rd St.,Chicago,60637,1747,1750,1032,0,0,,,,,,,,4529,POINT (-87.60684900000001 41.780405)
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,7877,7175,4749,0,0,,,,,,,,19801,POINT (-87.779388 41.953025)
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,4587,4162,3034,0,10,,,,,,,,11793,POINT (-87.643122 41.72067400000001)
