BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,LOCATION
Walker,11071 S. Hoyne Ave.,Chicago,60643,435,416,220,0,0,,,,,,,,1071,POINT (-87.674251 41.692445)
Albany Park,3401 W. Foster Ave.,Chicago,60625,1621,1484,765,0,0,,,,,,,,3870,POINT (-87.713595 41.975693)
Avalon,8148 S. Stony Island Ave.,Chicago,60617,2848,2373,1397,0,0,,,,,,,,6618,POINT (-87.585869 41.746322)
Brainerd,1350 W. 89th St.,Chicago,60620,814,637,328,0,0,,,,,,,,1779,POINT (-87.657726 41.732282)
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,641,578,361,0,0,,,,,,,,1580,POINT (-87.813329 41.978015)
Little Italy,1336 W. Taylor St.,Chicago,60607,1588,1481,802,0,0,,,,,,,,3871,POINT (-87.660263 41.869359)
Edgebrook,5331 W. Devon Ave.,Chicago,60646,669,657,368,0,0,,,,,,,,1694,POINT (-87.762043 41.997245)
Kelly,6151 S. Normal Blvd.,Chicago,60621,1123,811,543,0,0,,,,,,,,2477,POINT (-87.637516 41.78199)
Edgewater,6000 N. Broadway St.,Chicago,60660,3395,3133,1921,0,0,,,,,,,,8449,POINT (-87.660344 41.990916)
Near North,310 W. Division St.,Chicago,60610,1365,1274,654,0,0,,,,,,,,3293,POINT (-87.636644 41.903838)
Canaryville,642 W. 43rd St.,Chicago,60609,440,405,197,0,0,,,,,,,,1042,POINT (-87.642569 41.81627)
"Daley, Richard J. -Bridgeport",3400 S. Halsted St.,Chicago,60608,1029,899,532,0,0,,,,,,,,2460,POINT (-87.646149 41.8327)
Manning,6 S. Hoyne Ave.,Chicago,60612,1691,1499,0,0,0,,,,,,,,3190,POINT (-87.679091 41.881026)
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,1279,1198,714,0,0,,,,,,,,3191,POINT (-87.754875 41.938748)
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,2990,2628,1557,0,0,,,,,,,,7175,POINT (-87.61416 41.751132)
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,1467,1054,638,0,0,,,,,,,,3159,POINT (-87.600377 41.762277)
Scottsdale,4101 W. 79th St.,Chicago,60652,677,644,376,0,0,,,,,,,,1697,POINT (-87.724291 41.749388)
Altgeld,13281 S. Corliss Ave.,Chicago,60827,258,249,111,0,0,,,,,,,,618,POINT (-87.602139 41.653968)
West Lawn,4020 W. 63rd St.,Chicago,60629,1120,1055,613,0,0,,,,,,,,2788,POINT (-87.723756 41.778629)
Back of the Yards,2111 W. 47th St.,Chicago,60609,917,940,509,0,0,,,,,,,,2366,POINT (-87.677601 41.808523)
Rogers Park,6907 N. Clark St.,Chicago,60626,2549,2298,1243,0,0,,,,,,,,6090,POINT (-87.67344 42.006673)
