BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location
Walker,11071 S. Hoyne Ave.,Chicago,60643,521,670,,,,,,,,,,,1191,POINT (-87.67426 41.692473)
Albany Park,3401 W. Foster Ave.,Chicago,60625,3419,6208,,,,,,,,,,,9627,POINT (-87.713595 41.975693)
Avalon,8148 S. Stony Island Ave.,Chicago,60617,2985,4007,,,,,,,,,,,6992,POINT (-87.585869 41.746322)
Brainerd,1350 W. 89th St.,Chicago,60620,617,536,,,,,,,,,,,1153,POINT (-87.657726 41.732282)
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,3528,4252,,,,,,,,,,,7780,POINT (-87.813329 41.978015)
Little Italy,1336 W. Taylor St.,Chicago,60607,2801,5665,,,,,,,,,,,8466,POINT (-87.660263 41.869359)
Edgebrook,5331 W. Devon Ave.,Chicago,60646,3693,4302,,,,,,,,,,,7995,POINT (-87.76204 41.997245)
Kelly,6151 S. Normal Blvd.,Chicago,60621,497,1461,,,,,,,,,,,1958,POINT (-87.637516 41.78199)
Edgewater,6000 N. Broadway St.,Chicago,60660,7563,3509,,,,,,,,,,,11072,POINT (-87.660306 41.990923)
Near North,310 W. Division St.,Chicago,60610,4771,5815,,,,,,,,,,,10586,POINT (-87.636643 41.903838)
Canaryville,642 W. 43rd St.,Chicago,60609,0,1427,,,,,,,,,,,1427,POINT (-87.642569 41.81627)
"Daley, Richard J.",3400 S. Halsted St.,Chicago,60608,2480,0,,,,,,,,,,,2480,POINT (-87.646149 41.8327)
Manning,6 S. Hoyne Ave.,Chicago,60612,0,2701,,,,,,,,,,,2701,POINT (-87.679091 41.881026)
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,2301,3072,,,,,,,,,,,5373,POINT (-87.754876 41.938748)
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,1830,2462,,,,,,,,,,,4292,POINT (-87.61416 41.751132)
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,837,977,,,,,,,,,,,1814,POINT (-87.600377 41.762277)
Scottsdale,4101 W. 79th St.,Chicago,60652,1856,2867,,,,,,,,,,,4723,POINT (-87.724291 41.749388)
Altgeld,955 E. 131st St.,Chicago,60827,339,822,,,,,,,,,,,1161,POINT (-87.5989 41.657262)
West Lawn,4020 W. 63rd St.,Chicago,60629,1030,1345,,,,,,,,,,,2375,POINT (-87.723756 41.778629)
Back of the Yards,2111 W. 47th St.,Chicago,60609,1440,1689,,,,,,,,,,,3129,POINT (-87.677601 41.808523)
Rogers Park,6907 N. Clark St.,Chicago,60626,4179,7092,,,,,,,,,,,11271,POINT (-87.67344 42.006673)
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,2594,2929,,,,,,,,,,,5523,POINT (-87.780075 41.79286)
King,3436 S. King Dr.,Chicago,60616,1209,1080,,,,,,,,,,,2289,POINT (-87.617335 41.832238)
Water Works,163 E. Pearson Street,Chicago,60611,0,2774,,,,,,,,,,,2774,POINT (-87.623234 41.897609)
"Daley, Richard M.",733 N. Kedzie Ave.,Chicago,60612,6556,4072,,,,,,,,,,,10628,POINT (-87.706545 41.894322)
Humboldt Park,1605 N. Troy St.,Chicago,60647,2527,2725,,,,,,,,,,,5252,POINT (-87.705655 41.910536)
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,13873,15111,,,,,,,,,,,28984,POINT (-87.684637 41.962677)
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,3491,5724,,,,,,,,,,,9215,POINT (-87.590212 41.807619)
North Austin,5724 W. North Ave.,Chicago,60639,1072,1337,,,,,,,,,,,2409,POINT (-87.768877 41.909401)
West Town,1625 W. Chicago Ave.,Chicago,60622,3402,4726,,,,,,,,,,,8128,POINT (-87.668233 41.89606)
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,5058,5714,,,,,,,,,,,10772,POINT (-87.696439 41.983843)
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,4915,6552,,,,,,,,,,,11467,POINT (-87.658126 41.925316)
West Englewood,1745 W. 63rd St.,Chicago,60636,2038,2281,,,,,,,,,,,4319,POINT (-87.66821 41.779364)
Archer Heights,5055 S. Archer Ave.,Chicago,60632,2949,2360,,,,,,,,,,,5309,POINT (-87.726723 41.801206)
Hegewisch,3048 E. 130th St.,Chicago,60633,1165,1194,,,,,,,,,,,2359,POINT (-87.548914 41.659153)
Independence,4024 N. Elston Ave.,Chicago,60618,2412,2684,,,,,,,,,,,5096,POINT (-87.719889 41.954219)
Lozano,1805 S. Loomis St.,Chicago,60608,3634,2311,,,,,,,,,,,5945,POINT (-87.661298 41.857604)
South Shore,2505 E. 73rd St.,Chicago,60649,1066,1178,,,,,,,,,,,2244,POINT (-87.563672 41.762654)
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,2963,6955,,,,,,,,,,,9918,POINT (-87.631794 41.854267)
Douglass,3353 W. 13th St.,Chicago,60623,435,1100,,,,,,,,,,,1535,POINT (-87.709767 41.864527)
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,7285,8572,,,,,,,,,,,15857,POINT (-87.703483 41.924806)
Roden,6083 N. Northwest Hwy.,Chicago,60631,2759,3073,,,,,,,,,,,5832,POINT (-87.798265 41.991862)
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,0,0,,,,,,,,,,,0,POINT (-87.798468 41.921134)
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,1954,2396,,,,,,,,,,,4350,POINT (-87.785858 41.936833)
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,5015,5954,,,,,,,,,,,10969,POINT (-87.680298 41.912224)
North Pulaski,4300 W. North Ave.,Chicago,60639,1669,2052,,,,,,,,,,,3721,POINT (-87.733923 41.909856)
McKinley Park,1915 W. 35th St.,Chicago,60609,368,3624,,,,,,,,,,,3992,POINT (-87.673442 41.830421)
West Pullman,830 W. 119th St.,Chicago,60643,1216,944,,,,,,,,,,,2160,POINT (-87.643327 41.677819)
Beverly,1962 W. 95th St.,Chicago,60643,1709,1943,,,,,,,,,,,3652,POINT (-87.672288 41.721148)
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,477,2056,,,,,,,,,,,2533,POINT (-87.725593 41.879302)
Toman,2708 S. Pulaski Rd.,Chicago,60623,1371,1163,,,,,,,,,,,2534,POINT (-87.724477 41.842073)
Austin,5615 W. Race Ave.,Chicago,60644,2991,2312,,,,,,,,,,,5303,POINT (-87.766942 41.889281)
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,1417,1164,,,,,,,,,,,2581,POINT (-87.702091 41.738331)
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,2656,3140,,,,,,,,,,,5796,POINT (-87.761964 41.967648)
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,1302,1552,,,,,,,,,,,2854,POINT (-87.738155 41.968148)
South Chicago,9055 S. Houston Ave.,Chicago,60617,768,3114,,,,,,,,,,,3882,POINT (-87.549849 41.730371)
Clearing,6423 W. 63rd Pl.,Chicago,60638,1505,918,,,,,,,,,,,2423,POINT (-87.782282 41.7768)
Merlo,644 W. Belmont Ave.,Chicago,60657,4605,7379,,,,,,,,,,,11984,POINT (-87.646055 41.940054)
Uptown,929 W. Buena Ave.,Chicago,60613,4948,5325,,,,,,,,,,,10273,POINT (-87.654217 41.95846)
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,2444,2794,,,,,,,,,,,5238,POINT (-87.703231 41.781967)
Harold Washtington Library Center,400 S. State St.,Chicago,60605,39287,50081,,,,,,,,,,,89368,POINT (-87.627695 41.876301)
Brighton Park,4314 S. Archer Ave.,Chicago,60632,1250,1727,,,,,,,,,,,2977,POINT (-87.703067 41.814848)
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,608,808,,,,,,,,,,,1416,POINT (-87.747411 41.895019)
Little Village,2311 S. Kedzie Ave.,Chicago,60623,1270,1348,,,,,,,,,,,2618,POINT (-87.705179 41.849599)
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,2888,843,,,,,,,,,,,3731,POINT (-87.670433 41.940599)
Gage Park,2807 W. 55th St.,Chicago,60632,0,911,,,,,,,,,,,911,POINT (-87.694138 41.793722)
Northtown,6800 N. Western Ave.,Chicago,60645,5957,6137,,,,,,,,,,,12094,POINT (-87.690175 42.00536)
Dunning,7455 W. Cornelia Ave.,Chicago,60634,4240,5603,,,,,,,,,,,9843,POINT (-87.813908 41.94331)
Bezazian,1226 W. Ainslie St.,Chicago,60640,0,5133,,,,,,,,,,,5133,POINT (-87.660739 41.971414)
West Loop,122 N. Aberdeen St.,Chicago,60607,2514,3085,,,,,,,,,,,5599,POINT (-87.654421 41.883595)
Pullman,11001 S. Indiana Ave.,Chicago,60628,1558,1705,,,,,,,,,,,3263,POINT (-87.618295 41.694366)
Jeffery Manor,2401 E. 100th St.,Chicago,60617,2002,863,,,,,,,,,,,2865,POINT (-87.565489 41.713513)
