BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location
Walker,11071 S. Hoyne Ave.,Chicago,60643,452,494,441,398,458,,,,,,,,2243,POINT (-87.67380297499994 41.692205985000044)
Albany Park,3401 W. Foster Ave.,Chicago,60625,1118,1047,1048,970,1096,,,,,,,,5279,POINT (-87.71406100499996 41.975447006000024)
Avalon,8148 S. Stony Island Ave.,Chicago,60617,1352,1301,1475,1432,1393,,,,,,,,6953,POINT (-87.58626296499995 41.74633099300007)
Brainerd,1350 W. 89th St.,Chicago,60620,409,348,424,429,400,,,,,,,,2010,POINT (-87.65773997999997 41.73252901600006)
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,585,554,799,680,615,,,,,,,,3233,POINT (-87.81385401599994 41.97838398300007)
Little Italy,1336 W. Taylor St.,Chicago,60607,828,716,974,939,928,,,,,,,,4385,POINT (-87.66052296199996 41.86942820300004)
Edgebrook,5331 W. Devon Ave.,Chicago,60646,435,363,451,374,442,,,,,,,,2065,POINT (-87.76208696299994 41.997127008000064)
Kelly,6151 S. Normal Blvd.,Chicago,60621,515,557,634,635,598,,,,,,,,2939,POINT (-87.63724899299996 41.78199800300007)
Manning,6 S. Hoyne Ave.,Chicago,60612,693,692,799,769,816,,,,,,,,3769,POINT (-87.67958900299999 41.88105701100005)
Edgewater,6000 N. Broadway St.,Chicago,60660,1931,1742,2151,2204,2111,,,,,,,,10139,POINT (-87.66070097099998 41.991152010000064)
Near North,310 W. Division St.,Chicago,60610,1211,1085,1310,1540,1283,,,,,,,,6429,POINT (-87.63657902699998 41.90413901200003)
Canaryville,642 W. 43rd St.,Chicago,60609,238,255,313,315,279,,,,,,,,1400,POINT (-87.64259698199999 41.81648899000004)
"Daley, Richard J. -Bridgeport",3400 S. Halsted St.,Chicago,60608,795,689,937,951,908,,,,,,,,4280,POINT (-87.64646497899997 41.83263798300004)
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,788,775,989,905,868,,,,,,,,4325,POINT (-87.75493602599994 41.93894499100003)
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,1580,1474,1707,1641,1599,,,,,,,,8001,POINT (-87.61424603299997 41.75093500500003)
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,824,730,871,802,1069,,,,,,,,4296,POINT (-87.60042402299996 41.762564015000066)
Scottsdale,4101 W. 79th St.,Chicago,60652,606,551,705,645,692,,,,,,,,3199,POINT (-87.72458196999997 41.74917501500005)
Altgeld,955 E. 131st St.,Chicago,60827,527,449,530,510,393,,,,,,,,2409,POINT (-87.59858989999998 41.65721704300006)
West Lawn,4020 W. 63rd St.,Chicago,60629,529,543,646,760,808,,,,,,,,3286,POINT (-87.72380899099994 41.77890801400008)
Back of the Yards,2111 W. 47th St.,Chicago,60609,414,446,640,604,606,,,,,,,,2710,POINT (-87.67814396299997 41.80798098100007)
Rogers Park,6907 N. Clark St.,Chicago,60626,1495,1209,1889,1667,1592,,,,,,,,7852,POINT (-87.67335866399998 42.006785587000024)
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,489,485,596,620,633,,,,,,,,2823,POINT (-87.78021903099994 41.792989989000034)
King,3436 S. King Dr.,Chicago,60616,1000,892,1046,1043,1218,,,,,,,,5199,POINT (-87.61740244999999 41.83221959000008)
Water Works,163 E. Pearson Street,Chicago,60611,128,156,187,177,169,,,,,,,,817,POINT (-87.62349998899998 41.89724401700005)
"Daley, Richard M. -W. Humboldt",733 N. Kedzie Ave.,Chicago,60612,856,912,1012,1098,1033,,,,,,,,4911,POINT (-87.70645903299999 41.89468773600004)
Humboldt Park,1605 N. Troy St.,Chicago,60647,770,806,1030,1070,971,,,,,,,,4647,POINT (-87.70530602299993 41.91045498600005)
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,3085,2753,3463,3228,3246,,,,,,,,15775,POINT (-87.68438998999994 41.96275701400003)
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,893,960,1230,1076,976,,,,,,,,5135,POINT (-87.59033900099996 41.80583999100003)
North Austin,5724 W. North Ave.,Chicago,60639,618,600,768,722,682,,,,,,,,3390,POINT (-87.76889700799995 41.909612018000075)
West Town,1625 W. Chicago Ave.,Chicago,60622,1116,1009,1140,1064,1037,,,,,,,,5366,POINT (-87.66850200799996 41.89578200300008)
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,957,894,1236,1081,943,,,,,,,,5111,POINT (-87.69633202199998 41.983373017000076)
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,840,774,910,881,913,,,,,,,,4318,POINT (-87.65814801099998 41.925597019000065)
West Englewood,1745 W. 63rd St.,Chicago,60636,693,634,798,760,695,,,,,,,,3580,POINT (-87.66838499699998 41.77907900500003)
Archer Heights,5055 S. Archer Ave.,Chicago,60632,805,701,856,207,182,,,,,,,,2751,POINT (-87.72667803199994 41.80089198600007)
Hegewisch,3048 E. 130th St.,Chicago,60633,364,385,516,445,445,,,,,,,,2155,POINT (-87.54892896299998 41.65940898100007)
Independence,4024 N. Elston Ave.,Chicago,60618,753,647,808,754,722,,,,,,,,3684,POINT (-87.72033502699998 41.95412998200004)
Lozano,1805 S. Loomis St.,Chicago,60608,1339,1353,1611,1468,1229,,,,,,,,7000,POINT (-87.66092996499998 41.85762200600004)
South Shore,2505 E. 73rd St.,Chicago,60649,1038,1069,1260,1439,1457,,,,,,,,6263,POINT (-87.56371799299995 41.76244901600006)
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,1613,1559,2027,1803,1863,,,,,,,,8865,POINT (-87.63212899099995 41.85376201400004)
Douglass,3353 W. 13th St.,Chicago,60623,768,770,814,287,174,,,,,,,,2813,POINT (-87.70967805399994 41.864482714000076)
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,1250,1101,1384,1452,1305,,,,,,,,6492,POINT (-87.70349402299996 41.92508501100008)
Roden,6083 N. Northwest Hwy.,Chicago,60631,427,453,517,484,446,,,,,,,,2327,POINT (-87.79802001399997 41.99215398300004)
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,0,0,0,0,0,,,,,,,,0,POINT (-87.79731647599993 41.921091352000076)
