BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,YEAR
Albany Park,3401 W. Foster Ave.,Chicago,60625,1895,1638,2009,1997,1942,1951,2250,2267,1948,2092,1743,1547,23279,2019
Altgeld,13281 S. Corliss Ave.,Chicago,60827,616,604,504,439,477,368,346,370,421,498,316,267,5226,2019
Archer Heights,5055 S. Archer Ave.,Chicago,60632,1241,1383,1589,1574,1513,1427,1551,1557,1470,1601,1344,1216,17466,2019
Austin,5615 W. Race Ave.,Chicago,60644,395,1350,1405,1194,1169,1407,1412,1505,1267,1744,1748,1692,16288,2019
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,1256,1261,1483,1545,1537,1430,1391,1389,1296,1342,1066,1119,16115,2019
Avalon,8148 S. Stony Island Ave.,Chicago,60617,2635,2807,3048,3071,3003,2838,3056,2947,2713,3183,2651,2651,34603,2019
Back of the Yards,2111 W. 47th St.,Chicago,60609,1118,1037,1144,1324,1124,1159,1367,1386,1040,1279,930,807,13715,2019
Beverly,1962 W. 95th St.,Chicago,60643,1109,1181,1193,1403,1383,1262,1124,1247,1222,1221,1063,965,14373,2019
Bezazian,1226 W. Ainslie St.,Chicago,60640,2302,1846,2116,2414,2070,2161,3012,3166,2303,2531,2219,2094,28234,2019
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,1269,1347,1622,1579,1567,1647,1670,1686,1491,1613,1315,1202,18008,2019
Brainerd,1350 W. 89th St.,Chicago,60620,814,694,886,978,935,917,928,993,843,1190,899,739,10816,2019
Brighton Park,4314 S. Archer Ave.,Chicago,60632,923,817,947,918,754,826,961,1002,878,1108,801,663,10598,2019
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,888,773,1041,990,943,944,1034,974,920,1046,813,756,11122,2019
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,1256,1293,1429,1574,1314,1271,1382,1206,1112,1400,1129,1137,15503,2019
Canaryville,642 W. 43rd St.,Chicago,60609,533,507,542,537,536,529,470,518,385,488,512,434,5991,2019
Chicago Bee,3647 S. State St.,Chicago,60609,660,624,813,619,744,731,855,926,754,1100,852,845,9523,2019
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,1208,1216,1307,1340,1204,1356,1509,1517,854,1,600,896,13008,2019
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,2289,2106,2486,2654,2280,2450,2444,2596,2149,2680,2340,2438,28912,2019
Clearing,6423 W. 63rd Pl.,Chicago,60638,689,715,813,827,724,624,719,694,598,121,210,533,7267,2019
Coleman,731 E. 63rd St.,Chicago,60637,2161,2210,2235,2506,2343,2509,2811,2560,0,1557,2420,2033,25345,2019
"Daley, Richard J.",3400 S. Halsted St.,Chicago,60608,1033,889,977,1081,969,1029,1170,1110,980,1295,980,912,12425,2019
"Daley, Richard M.",733 N. Kedzie Ave.,Chicago,60612,2418,2338,2410,2459,2054,2337,2397,2529,2001,2846,2437,2432,28658,2019
Douglass,3353 W. 13th St.,Chicago,60623,0,0,0,0,0,0,0,0,0,0,699,1226,1925,2019
Dunning,7455 W. Cornelia Ave.,Chicago,60634,906,885,1032,918,990,951,802,800,1018,941,904,821,10968,2019
Edgebrook,5331 W. Devon Ave.,Chicago,60646,610,639,722,629,683,646,674,659,602,672,530,628,7694,2019
Edgewater,6000 N. Broadway St.,Chicago,60660,3477,3272,3731,3723,3896,3494,3497,3512,3565,3799,3280,3054,42300,2019
Gage Park,2807 W. 55th St.,Chicago,60632,415,372,411,428,386,479,491,485,394,638,515,392,5406,2019
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,697,621,889,827,779,685,800,772,718,1027,873,702,9390,2019
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,1715,1509,1729,1883,1671,1600,1637,1628,1666,1629,1439,1113,19219,2019
Hall,4801 S. Michigan Ave.,Chicago,60615,1118,1075,1207,1322,1123,1255,1607,1460,1259,1399,1028,1069,14922,2019
Harold Washington Library Center,400 S. State Street,CHICAGO,60605,17443,16750,18584,18672,17235,17547,18277,17353,16426,19176,16180,15940,209583,2019
Hegewisch,3048 E. 130th St.,Chicago,60633,564,496,696,673,566,664,516,559,558,699,561,562,7114,2019
Humboldt Park,1605 N. Troy St.,Chicago,60647,1237,1247,1192,1403,1370,1201,1453,1296,1113,1337,1137,956,14942,2019
Independence,4024 N. Elston Ave.,Chicago,60618,176,623,841,952,891,1090,1174,1227,1035,1358,1169,977,11513,2019
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,801,0,0,0,0,0,0,0,0,0,340,881,2022,2019
Jeffery Manor,2401 E. 100th St.,Chicago,60617,975,1048,1124,1077,982,1157,1227,1097,1020,1142,871,907,12627,2019
Kelly,6151 S. Normal Blvd.,Chicago,60621,1018,901,1017,1069,1023,1091,1395,1324,1109,1300,910,1063,13220,2019
King,3436 S. King Dr.,Chicago,60616,1421,1237,1356,1770,1559,1610,1717,1598,1725,1983,1710,1502,19188,2019
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,2042,2076,2051,2136,2108,2048,3456,3149,2730,10,0,0,21806,2019
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,916,834,1109,1203,954,1131,1199,1081,992,1120,991,915,12445,2019
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,977,936,1108,1191,1188,1222,1067,1072,1020,1145,948,985,12859,2019
Little Italy,1336 W. Taylor St.,Chicago,60607,189,471,989,1162,1282,1360,1420,1462,1217,1574,1271,1371,13768,2019
Little Village,2311 S. Kedzie Ave.,Chicago,60623,1758,1729,1751,2000,1838,1739,2085,2294,1761,2356,1581,1470,22362,2019
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,1634,1372,1753,1838,1816,1795,1824,1844,1681,1842,1640,1483,20522,2019
Lozano,1805 S. Loomis St.,Chicago,60608,1802,1706,2001,1965,1698,1854,2173,2031,1637,2403,1785,1695,22750,2019
Manning,6 S. Hoyne Ave.,Chicago,60612,1575,1579,1709,1711,1601,1612,2015,1706,1536,2229,1966,1701,20940,2019
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,662,702,807,806,778,681,738,726,740,795,650,627,8712,2019
McKinley Park,1915 W. 35th St.,Chicago,60609,837,848,904,962,845,853,1002,968,918,994,797,745,10673,2019
Merlo,644 W. Belmont Ave.,Chicago,60657,1017,902,0,0,0,0,0,0,0,0,0,0,1919,2019
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,753,700,848,847,870,733,745,766,701,865,782,756,9366,2019
Near North,310 W. Division St.,Chicago,60610,1387,1395,1531,1452,1410,1423,1493,1446,1303,1402,1352,1219,16813,2019
North Austin,5724 W. North Ave.,Chicago,60639,1399,1157,978,1450,1356,1468,1671,1618,1284,1877,1403,1310,16971,2019
North Pulaski,4300 W. North Ave.,Chicago,60639,994,990,1190,1219,970,1077,1194,1086,928,1100,894,877,12519,2019
Northtown,6800 N. Western Ave.,Chicago,60645,1,0,1391,1776,1706,2054,2627,2606,2228,2981,2218,2168,21756,2019
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,685,723,771,684,638,525,554,501,557,564,503,497,7202,2019
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,1338,1098,1112,626,0,279,1342,1382,1260,1208,1217,1132,11994,2019
Pullman,11001 S. Indiana Ave.,Chicago,60628,1360,1132,1391,1361,1155,1278,1300,1329,1112,1492,1088,1092,15090,2019
Roden,6083 N. Northwest Hwy.,Chicago,60631,1033,568,673,694,660,662,641,685,581,760,615,268,7840,2019
Rogers Park,6907 N. Clark St.,Chicago,60626,2418,2511,2720,3242,2681,3130,3656,3972,2616,3533,2545,2488,35512,2019
Scottsdale,4101 W. 79th St.,Chicago,60652,875,799,896,903,848,727,863,879,810,981,836,650,10067,2019
Sherman Park,5440 S. Racine Ave.,Chicago,60609,861,841,873,1004,850,940,1215,1085,944,1253,915,572,11353,2019
