BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,YEAR
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,657,500,572,468,459,263,502,524,515,510,516,532,2656,2023
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,704,654,876,834,669,648,835,713,660,703,602,585,3737,2023
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,2027,2217,2270,1966,1666,2207,2150,1960,2021,2257,1970,1788,10146,2023
Beverly,1962 W. 95th St.,Chicago,60643,3252,3380,3769,2895,2579,1979,3365,3149,3069,2887,2806,2601,15875,2023
Archer Heights,5055 S. Archer Ave.,Chicago,60632,2014,2263,2656,631,314,2432,2505,2377,2259,2054,2099,1778,7878,2023
Manning,6 S. Hoyne Ave.,Chicago,60612,1132,1067,1250,1200,1193,1063,1401,1218,1080,976,972,798,5842,2023
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,6444,6191,7707,6442,5850,7217,7174,6970,6616,6126,6129,5785,32634,2023
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,3844,3380,4028,3784,3374,3588,3750,3966,3318,3273,3330,3145,18410,2023
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,3168,2993,3190,2826,2748,3115,3489,3309,2879,3210,3199,2353,14925,2023
Avalon,8148 S. Stony Island Ave.,Chicago,60617,1243,1302,1479,1335,1115,1362,1462,1587,1246,1298,1230,951,6474,2023
Edgewater,6000 N. Broadway St.,Chicago,60660,10867,10097,11720,9451,9460,10825,11022,10531,9957,9925,10431,9355,51595,2023
South Shore,2505 E. 73rd St.,Chicago,60649,856,778,919,885,771,867,927,1035,747,970,863,834,4209,2023
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,616,530,800,722,633,593,729,695,557,492,476,649,3301,2023
Hall,4801 S. Michigan Ave.,Chicago,60615,626,562,907,850,594,577,756,783,714,593,421,681,3539,2023
Back of the Yards,2111 W. 47th St.,Chicago,60609,989,889,984,1134,943,1254,1117,1232,959,989,790,861,4939,2023
Vodak-East Side,3710 E. 106th St.,Chicago,60617,1488,1852,1985,1879,1545,1423,1903,2191,2381,1879,1614,1469,8749,2023
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,2433,2421,3050,2494,2556,2778,2735,2729,2599,2703,2486,2337,12954,2023
Dunning,7455 W. Cornelia Ave.,Chicago,60634,3775,3254,3792,3679,3227,3986,3897,3797,3308,3221,3386,2744,17727,2023
West Pullman,830 W. 119th St.,Chicago,60643,845,783,851,846,615,750,732,720,900,761,577,578,3940,2023
