BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,YEAR
Walker,11071 S. Hoyne Ave.,Chicago,60643,452,494,441,398,458,416,482,562,528,438,375,373,2243,2023
Albany Park,3401 W. Foster Ave.,Chicago,60625,1118,1047,1048,970,1096,1091,1214,1169,1142,1208,1164,1063,5279,2023
Avalon,8148 S. Stony Island Ave.,Chicago,60617,1352,1301,1475,1432,1393,1386,1432,1517,1392,1420,1215,1179,6953,2023
Brainerd,1350 W. 89th St.,Chicago,60620,409,348,424,429,400,564,575,585,519,476,481,482,2010,2023
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,585,554,799,680,615,590,564,691,618,634,564,512,3233,2023
Little Italy,1336 W. Taylor St.,Chicago,60607,828,716,974,939,928,897,831,912,997,927,830,660,4385,2023
Edgebrook,5331 W. Devon Ave.,Chicago,60646,435,363,451,374,442,439,437,502,454,417,362,403,2065,2023
Kelly,6151 S. Normal Blvd.,Chicago,60621,515,557,634,635,598,669,578,625,570,661,582,417,2939,2023
Manning,6 S. Hoyne Ave.,Chicago,60612,693,692,799,769,816,733,749,865,856,955,761,622,3769,2023
Edgewater,6000 N. Broadway St.,Chicago,60660,1931,1742,2151,2204,2111,2198,2107,2212,1904,2019,1736,1694,10139,2023
Near North,310 W. Division St.,Chicago,60610,1211,1085,1310,1540,1283,438,89,746,1094,1323,1202,1054,6429,2023
Canaryville,642 W. 43rd St.,Chicago,60609,238,255,313,315,279,0,101,193,251,231,196,197,1400,2023
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,788,775,989,905,868,869,894,969,851,858,807,777,4325,2023
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,1580,1474,1707,1641,1599,1504,1614,1971,1548,1737,1465,1373,8001,2023
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,824,730,871,802,1069,703,705,822,866,925,767,777,4296,2023
Scottsdale,4101 W. 79th St.,Chicago,60652,606,551,705,645,692,566,651,640,679,653,522,517,3199,2023
Altgeld,955 E. 131st St.,Chicago,60827,527,449,530,510,393,1086,1373,1238,1031,1276,1005,808,2409,2023
West Lawn,4020 W. 63rd St.,Chicago,60629,529,543,646,760,808,520,575,604,575,590,534,436,3286,2023
Back of the Yards,2111 W. 47th St.,Chicago,60609,414,446,640,604,606,478,502,591,473,489,434,337,2710,2023
Rogers Park,6907 N. Clark St.,Chicago,60626,1495,1209,1889,1667,1592,1437,1506,1494,1619,1679,1473,1560,7852,2023
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,489,485,596,620,633,495,585,631,609,363,489,476,2823,2023
King,3436 S. King Dr.,Chicago,60616,1000,892,1046,1043,1218,1005,1191,1298,1142,1070,895,798,5199,2023
