BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,YEAR
Walker,11071 S. Hoyne Ave.,Chicago,60643,1090,1914,2029,1754,1488,948,1166,1146,1016,1157,996,1079,8275,2023
Albany Park,3401 W. Foster Ave.,Chicago,60625,6565,7308,6554,7159,7552,6394,7005,6848,7061,6955,6719,6469,35138,2023
Avalon,8148 S. Stony Island Ave.,Chicago,60617,3345,3417,4169,3917,3614,4188,5093,4747,3630,3639,3029,1950,18462,2023
Brainerd,1350 W. 89th St.,Chicago,60620,762,1023,1033,1397,1082,1147,1182,1215,1098,973,1301,836,5297,2023
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,4896,4824,5486,5025,4954,4827,5100,5297,5014,4880,4712,4723,25185,2023
Little Italy,1336 W. Taylor St.,Chicago,60607,7679,7318,8778,8378,8675,8215,7872,8699,8736,8458,7284,5633,40828,2023
Edgebrook,5331 W. Devon Ave.,Chicago,60646,5774,5827,6259,5770,5878,6707,6437,6411,5317,5992,6298,5184,29508,2023
Kelly,6151 S. Normal Blvd.,Chicago,60621,2361,2276,2598,3035,2901,2834,2730,3343,2686,2867,2381,2093,13171,2023
Edgewater,6000 N. Broadway St.,Chicago,60660,8408,8676,9075,10534,8299,8531,9696,9588,8944,9539,8103,6262,44992,2023
Near North,310 W. Division St.,Chicago,60610,6661,11052,11254,10335,6868,0,0,7086,10148,12716,9813,5974,46170,2023
Canaryville,642 W. 43rd St.,Chicago,60609,1228,1290,1720,1420,1275,0,736,1184,1038,957,887,950,6933,2023
"Daley, Richard J.",3400 S. Halsted St.,Chicago,60608,1754,2150,3544,5498,4445,2086,2105,2049,1873,2150,2112,2154,17391,2023
Manning,6 S. Hoyne Ave.,Chicago,60612,3272,3333,3536,3999,4068,3858,3653,3680,2974,3861,3523,2952,18208,2023
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,4569,7520,9359,8386,7057,5573,4058,4024,3335,4621,5254,3156,36891,2023
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,1976,3628,4051,4577,2262,4946,3809,4064,4172,4579,4319,3511,16494,2023
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,2850,2852,3992,3740,4183,1769,1437,1760,2375,2391,2057,2125,17617,2023
Scottsdale,4101 W. 79th St.,Chicago,60652,2976,3537,3839,3764,3258,3392,3299,3403,3081,2995,3261,2832,17374,2023
Altgeld,955 E. 131st St.,Chicago,60827,3342,3529,4242,4346,3959,3466,4771,4217,4146,4613,3542,3204,19418,2023
West Lawn,4020 W. 63rd St.,Chicago,60629,2769,3212,3589,3999,3832,3798,4384,4067,3307,3516,3431,3531,17401,2023
Back of the Yards,2111 W. 47th St.,Chicago,60609,2440,2529,3529,3525,3473,2933,2717,2943,2816,3508,2576,2276,15496,2023
Rogers Park,6907 N. Clark St.,Chicago,60626,6634,7712,11081,10685,10224,8624,8696,8916,9226,9380,9355,7431,46336,2023
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,4670,4862,5640,5194,4791,5176,6041,4817,4982,3982,4529,3924,25157,2023
King,3436 S. King Dr.,Chicago,60616,1208,1333,1377,1452,1640,1959,1793,1656,1532,1492,1404,1041,7010,2023
"Daley, Richard M.",733 N. Kedzie Ave.,Chicago,60612,3948,4199,5000,4322,4013,4408,4118,3433,3749,3686,2541,3656,21482,2023
Humboldt Park,1605 N. Troy St.,Chicago,60647,2134,4843,2767,2608,2404,7297,4741,4958,3705,5676,3262,1665,14756,2023
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,19382,19383,22779,19675,20137,14966,18748,19294,18776,21154,20568,16373,101356,2023
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,6396,6111,8340,7206,7152,7061,6992,7065,7194,6380,5979,4894,35205,2023
North Austin,5724 W. North Ave.,Chicago,60639,1632,1472,1880,1925,1831,1587,2002,1939,1627,1770,1745,1435,8740,2023
West Town,1625 W. Chicago Ave.,Chicago,60622,6684,6765,8422,7309,6577,6246,6644,6767,5888,6537,6620,5791,35757,2023
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,3641,6962,6465,5755,3924,6615,8904,7810,6659,8755,7259,3437,26747,2023
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,9102,13927,14045,14697,7933,12512,10660,10414,8960,11785,17248,8067,59704,2023
West Englewood,1745 W. 63rd St.,Chicago,60636,2120,2508,2557,2559,2582,3403,2924,4282,2708,3534,3277,2499,12326,2023
Archer Heights,5055 S. Archer Ave.,Chicago,60632,3282,6377,6239,2610,737,4950,3198,3390,3329,4599,5054,2703,19245,2023
Hegewisch,3048 E. 130th St.,Chicago,60633,1245,1501,1511,1577,1150,1841,1858,796,162,1156,1228,934,6984,2023
Independence,4024 N. Elston Ave.,Chicago,60618,3638,4542,4108,3993,3366,5240,3752,3945,2903,3539,3887,2960,19647,2023
Lozano,1805 S. Loomis St.,Chicago,60608,3697,5999,5354,4991,4079,2693,3995,4508,4097,4777,5728,3121,24120,2023
South Shore,2505 E. 73rd St.,Chicago,60649,1736,2083,2268,2369,2536,1576,2059,2264,1864,1936,1812,1508,10992,2023
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,12943,12093,16430,16045,16491,15962,16974,15109,13290,14005,11877,11473,74002,2023
Douglass,3353 W. 13th St.,Chicago,60623,2281,1605,1818,400,499,0,4316,3921,3733,2738,1626,2256,6603,2023
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,10711,9805,12323,11115,10463,9187,10600,11057,9856,10579,10006,9037,54417,2023
Roden,6083 N. Northwest Hwy.,Chicago,60631,4217,13491,13435,9104,4589,8939,4562,4582,3794,8002,10121,3840,44836,2023
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,3469,7391,6795,5312,3677,5544,3485,3898,3253,5245,6103,2923,26644,2023
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,3662,5151,5208,5988,3646,11320,8472,8434,8088,7620,7122,3317,23655,2023
North Pulaski,4300 W. North Ave.,Chicago,60639,2612,2322,2771,2719,2774,2444,2677,2876,2443,2487,2370,2419,13198,2023
McKinley Park,1915 W. 35th St.,Chicago,60609,4587,7009,7157,5770,5816,5238,5037,5458,4786,5641,4726,3761,30339,2023
West Pullman,830 W. 119th St.,Chicago,60643,2432,8510,7576,5448,2817,2282,1807,2090,2023,2377,6051,235,26783,2023
Beverly,1962 W. 95th St.,Chicago,60643,2724,2792,3527,2989,2642,1489,2773,2871,2592,2685,2490,2179,14674,2023
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,2745,2781,3538,3476,3090,3276,3601,3442,3310,3346,3196,2539,15630,2023
Toman,2708 S. Pulaski Rd.,Chicago,60623,2431,3178,2881,2383,2992,2390,2546,2364,1667,3009,2793,1942,13865,2023
Austin,5615 W. Race Ave.,Chicago,60644,3335,3313,4077,4028,4296,3883,5135,4145,3804,3918,3492,2982,19049,2023
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,1625,12146,6312,4074,1851,3609,1048,1401,2117,5210,6950,1410,26008,2023
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,3187,2839,3345,5012,4369,4418,4460,4287,3526,3663,3926,2864,18752,2023
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,1585,2201,2908,3110,2901,1715,1594,1623,1446,1441,1508,1388,12705,2023
South Chicago,9055 S. Houston Ave.,Chicago,60617,3160,2950,3729,2989,3119,3374,4843,4842,4285,3607,3146,3328,15947,2023
Clearing,6423 W. 63rd Pl.,Chicago,60638,1095,630,610,2935,480,575,870,1605,1440,1156,2425,1770,5750,2023
Merlo,644 W. Belmont Ave.,Chicago,60657,8024,12599,13585,11985,8442,15221,8547,8701,7799,10197,12420,6551,54635,2023
Uptown,929 W. Buena Ave.,Chicago,60613,6937,6885,7865,8517,7734,1999,5785,6428,6106,6519,7091,5913,37938,2023
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,3320,3687,4129,4358,3964,4635,4397,4968,4236,4369,4241,3423,19458,2023
Harold Washtington Library Center,400 S. State St.,Chicago,60605,31440,34144,37003,32806,39548,63316,71029,65825,61361,67126,50053,28348,174941,2023
Brighton Park,4314 S. Archer Ave.,Chicago,60632,2346,3629,4285,4267,3130,3090,2871,3264,3017,3270,3264,2681,17657,2023
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,1291,1499,2886,1989,1623,1591,1181,1474,1622,1513,2024,1087,9288,2023
Little Village,2311 S. Kedzie Ave.,Chicago,60623,2402,3042,3836,3653,3665,2269,2449,2171,2043,2080,1928,617,16598,2023
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,7534,7608,8966,8509,7509,5435,6435,7667,7074,7100,6929,6161,40126,2023
Gage Park,2807 W. 55th St.,Chicago,60632,1715,1511,3794,2243,1879,1570,1470,1678,1131,2032,1620,1527,11142,2023
Northtown,6800 N. Western Ave.,Chicago,60645,6176,10135,9397,8077,6293,6614,4807,6426,5969,8492,9581,5326,40078,2023
Dunning,7455 W. Cornelia Ave.,Chicago,60634,5224,5559,5898,6175,6047,5177,7638,6869,6169,6495,5513,5443,28903,2023
Bezazian,1226 W. Ainslie St.,Chicago,60640,3766,3742,4305,4302,4027,5395,4471,3789,3907,3799,3932,3332,20142,2023
West Loop,122 N. Aberdeen St.,Chicago,60607,5796,5291,6469,5617,5188,4264,4639,4826,4645,5246,5030,4047,28361,2023
Pullman,11001 S. Indiana Ave.,Chicago,60628,2874,3466,3866,3738,3481,3175,3237,2752,3230,3605,3527,2684,17425,2023
Jeffery Manor,2401 E. 100th St.,Chicago,60617,920,1797,1731,1890,1946,1680,1790,1661,1171,1835,1724,1103,8284,2023
Hall,4801 S. Michigan Ave.,Chicago,60615,2360,2208,3020,2950,3310,2850,3200,3488,3003,3157,2555,2053,13848,2023
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,2044,297,1227,2623,2433,2399,2774,2313,1986,2448,1787,1715,8624,2023
Coleman,731 E. 63rd St.,Chicago,60637,2221,1750,1802,2812,2529,4162,4816,5462,2750,3187,2506,2270,11114,2023
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,3165,3462,3438,3240,3052,5147,5029,5149,4840,5656,5303,3944,16357,2023
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,4608,5169,7259,7072,6216,5815,6183,5996,5305,5491,4986,3678,30324,2023
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,3169,5731,6439,5623,3694,3379,3684,3675,3628,3621,3095,3206,24656,2023
Chicago Bee,3647 S. State St.,Chicago,60609,881,1022,1216,1197,1033,819,1074,993,1162,985,841,977,5349,2023
Vodak-East Side,3710 E. 106th St.,Chicago,60617,2632,3316,3622,3454,2704,3343,4703,4355,3761,4074,3700,2844,15728,2023
Sherman Park,5440 S. Racine Ave.,Chicago,60609,964,1225,1200,1195,1107,1508,1434,1740,1263,1227,994,1009,5691,2023
